"Número de guía","Número de bulto a agregar","Número del requisito del contenedor específico que le aplica al bulto","Cantidad de animales al interior del bulto","Especie / Tipo (Clase) del animal","Nombre común","Nombre científico","Número apéndice de la CITES","Raza (Únicamente aplica para perros y gatos. Para otro tipo de animal diligencie ""N/A"")","Edad (meses)","¿El animal tiene alguna característica/condición especial en su estado de salud? Ejemplo: Parálisis, heridas, etc.","Diligencie la característica/condición especial en su estado de salud","Propósito del transporte","Peso neto (Kg) - Peso de(l) (los) animal(es)","Peso bruto (Kg) - Peso de(l) (los) animal(es) mas el contenedor","Sexo"
"888005230717","5","1","11","Mamíferos","GATOS","FELIS CATUS","No aplica","CRIOLLOS","8","No","NINGUNA","Traslado para un zoológico, santuario o centro de rehabilitación","18","28","Macho"
"888005230797","2","18","10","Aves","GALLOS","GALLUS SPP","No aplica","N/A","12","No","NINGUNA","No comercial","12","4","Macho"
"888005230946","1","18","3","Aves","GALLOS","GALLUS SPP","No aplica","N/A","12","No","NINGUNA","No comercial","4","7","Macho"
"888005231268","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","SI","12","No","N/A","No comercial","14","24.8","Hembra"
"888005230729","2","1","4","Mamíferos","GATOS","FELIS CATUS ","No aplica","CRIOLLOS ","4","No","N/A","No comercial","4","8.5","Macho"
"888005232810","5","1","7","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","3.41224","No","N/A","No comercial","24","31.6","Macho"
"888005233829","5","1","9","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","3.45","Sí","1 GATO CON AUSENCIA DE OJO IZQUIERDO (ENUCLEACION)1 GATO CON  ALTERACION NEUROLOGICA  DE ETIOLOGIA POR DETERMINAR  REQUIRE ESTUDIOS  COMPLEMENTARIOS MANEJO HOSPITALARIO Y MONITOREO CONTINUO","No comercial","15.8","22.4","Macho"
"888005234639","4","1","4","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","24.4","Sí","AUSENCIA DE OJO IZQUIERDO (AUSENCIA DEL GLOBO OCULAR IZQUIERDO )","No comercial","13","23.1","Macho"
"888005258561","5","1","15","Mamíferos","GATO ","FELIS CATUS","No aplica","CRIOLLA ","4","No","N/A","No comercial","15","22.9","Macho"
"888005288148","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","CRIOLLO","2","No","N/A","No comercial","5","15","Macho"
"888005258658","5","1","7","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","4.1214","No","N/a","No comercial","15","22","Macho"
"888005260917","4","16","19","Mamíferos","GALLO","GALLUS SPP","No aplica","N/","16.1415","No","N/A","No comercial","25.5","40.5","Macho"
"888005262710","1","1","1","Mamíferos","PERRO","CANIS FAMILIARI","No aplica","MESTIZO ","72","No","N/A","No comercial","15","24","Macho"
"888005288037","1","18","2","Aves","GALLOS","PHASIDUS SPP","No aplica","N/A","15","No","N/A","No comercial","3.7","6","Macho"
"888005288241","1","1","1","Mamíferos","FELIZ CATUS ","FELIZ SILVESTRI CATUS ","No aplica","BENGALI ","4","No","N/A","Comercial","2","5","Hembra"
"888005288319","1","1","1","Mamíferos","PERRO DOMESTCO","CANIS FAMILIARIS","No aplica","PINSHER","3","No","NA","No comercial","1.6","2.3","Hembra"
"888005288262","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","POMSKY","36","No","N/A","No comercial","12.4","24","Macho"
"888005292223","1","1","1","Mamíferos","PERRO  ","CANIS FAMILIARIS ","No aplica","SABUEZO FINO","1","No","N/A","No comercial","20","27","Macho"
"888005292859","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","POMSKY","36","No","N/A","No comercial","12.4","16","Macho"
"888005292902","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS ","No aplica","MESTIZO","3","No","N/A","No comercial","7.2","11.2","Hembra"
"888005296400","1","1","1","Mamíferos","perro","cannis familiaris","No aplica","pomerania","2","No","buena","No comercial","0.6","1.54","Macho"
"888005314504","1","1","1","Mamíferos","PERRO COMUN","CAIS FAMILIARIS","No aplica","METIZOS","60","Sí","MUTILACION ROSTRAL DEL LADO IZQUIERDO","No comercial","20","38","Macho"
"888005315675","1","1","1","Mamíferos","PERRO","CAIS FAMILIARIS","No aplica","GOLDE RETREVER ","39","No","N/A","No comercial","26","33","Hembra"
"888005316294","1","1","1","Mamíferos","PERRO ","CANIS FAMILAIRIS","No aplica","GOLDEN DOODLE","4","No","N/A","No comercial","2","4","Macho"
"888005314427","4","1","9","Mamíferos","GATOS ","FELIS CATUS","No aplica","CRIOLLOS","4","No","N/A","No comercial","10","25","Macho"
"888005313970","1","1","1","Mamíferos","PERRO  ","CANIS FAMILIARIS ","No aplica","MESTIZO","2","No","N/A","No comercial","15","27","Macho"
"888005318969","3","18","12","Aves","GALLOS","GALLUS SPP","No aplica","N/A","11","No","NINGUNA","No comercial","20","28","Macho"
"88800314076","1","1","2","Mamíferos","GATOS","FELIS CATUS","No aplica","CRIOLLOS","4","No","N/A","No comercial","1","3.5","Macho"
"888005320342","5","1","15","Mamíferos","GATO","FELIS CATUS ","No aplica","CRIOLLO","5.4","No","N/a","No comercial","18.5","24.5","Hembra"
"888005320597","5","1","12","Mamíferos","GATO ","FELIS CATUS","No aplica","CRIOLLA ","4.1214","No","N/A ","No comercial","19.1","26.1","Macho"
"5339948","1","1","1","Mamíferos","PERRO","CANNIS FAMILIARIS","No aplica","GOLDENDOODLE","2","No","N/A","No comercial","3","7","Hembra"
"888005411490","4","1","8","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","4.14","No","N/A","No comercial","12","17.3","Macho"
"888005411525","2","1","2","Mamíferos","PERRO ","CANIS FAMILIARIS","No aplica","CRIOLLO ","3","No",,"No comercial","6","8","Macho"
"888005411620","4","1","10","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","14.4","No",,"No comercial","14","18.7","Macho"
"888005416245","3","1","7","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","4.14","No","N/A","No comercial","9","12.7","Hembra"
"888005439822","5","1","5","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","12.14","No","N/A","No comercial","20","24.4","Hembra"
"888005440084","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","CHIHUAHUA","2","No","ACTO","No comercial","1","2.9","Macho"
"888005439894","5","1","5","Mamíferos","GATO","FELIS CATUS ","No aplica","CRIOLLO ","12","No","N/A","No comercial","22","26.6","Macho"
"88805440087","5","1","5","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","12","No","N/A","No comercial","23","28.5","Hembra"
"888005439318","5","1","12","Mamíferos","GATOS","FELIS CATUS","No aplica","CRIOLLOS ","6","No","N/A","No comercial","14.5","34.5","Macho"
"888005441421","5","16","5","Aves","GALLOS DE PELEA","GALUS GALLUS DOMESTICUS","No aplica","N/A","12","No","N/A","No comercial","46","63","Macho"
"888005442253","5","16","5","Aves","GALLOS DE PELEA","GALLUS GALLUS DOMESTICUS","No aplica","N/A","12","No","N/A","No comercial","46","62","Macho"
"888005442671","2","16","5","Aves","GALLOS DE PELEA","GALLUS GALLUS DOMESTICUS","No aplica","N/A","12","No","N/A","No comercial","6","10","Hembra"
"888005443762","5","1","5","Mamíferos","GATO ","FELIS CATUS","No aplica","CRIOLLA ","4.14","No","CICATRIZACION POR ESTERILIZACION SIN SIGNOS DE INFECCION ","No comercial","16","22","Hembra"
"888005467603","5","16","5","Aves","GALLOS DE PELEA","GALLUS GALLUS DOMESTICUS","No aplica","N/A","12","No","N/A","No comercial","38","55","Macho"
"888005467911","1","16","5","Aves","GALLOS DE PELEA","GALLUS ALLUS DOMESTICUS","No aplica","N/A","12","No","N/A","No comercial","9","12","Macho"
"888005468564","3","16","3","Aves","GALLOS DE PELEA","GALLUS GALLUS DOMESTICUS","No aplica","N/A","12","No","N/A","No comercial","9","17","Macho"
"888005467419","2","1","2","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","CRIOLLOS","3","No","N/A","No comercial","20","49.5","Macho"
"888005469177","1","1","1","Mamíferos","PERRO COMUN","CANIS FAMILIARIS","No aplica","MESTIZO","7","No","N/A","No comercial","12","17","Macho"
"888005467421","2","1","2","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","CRIOLLOS","2","No","N/A","No comercial","20","36","Macho"
"888005469616","1","1","1","Mamíferos","UN DOG","CANIS FAMILIARIS ","No aplica","TECKEL","3","No","NA","No comercial","1","3.5","Hembra"
"888005472492","5","1","11","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLA ","4.12","No","N/A","No comercial","14","24.8","Macho"
"888005496623","4","1","8","Mamíferos","GATOS","FELIS CATUS","No aplica","CRIOLLOS","5","No","N/A","No comercial","10","20.5","Macho"
"888005499630","1","1","1","Mamíferos","un gato ","felis catus","No aplica","bengali","3","No","na","No comercial","1","3","Macho"
"888005503504","1","1","1","Mamíferos","PERRO ","CANIS FAMILIARIS ","No aplica","CRIOLLA ","12","No","N/A","No comercial","13","17.1","Macho"
"888005505456","1","1","1","Mamíferos","CANINO DOG","CANIS FAMILIARIS","No aplica","POMERANIA","3","No","NA","No comercial","1","3","Hembra"
"888005523325","5","1","4","Aves","GALLOS DE PELEA","GALLUS GALLUS DOMESTICUS","No aplica","N/A","12","No","N/A","No comercial","34","49","Macho"
"888005523569","5","1","13","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","4","No","N/A","No comercial","13","17","Macho"
"888005523636","1","16","5","Aves","GALLOS DE PELEA ","GALLUS GALLUS DOMESTICUS","No aplica","N/A","12","No","N/A","No comercial","8","11","Macho"
"888005523707","5","1","11","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","4.12","No","N/A","No comercial","16","20.1","Hembra"
"888005524118","1","1","1","Mamíferos","PERRO COMUN","CANIS FAMILIARIS","No aplica","MESTIZO","8","No","N/A","No comercial","12","20","Macho"
"888005525471","5","1","10","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","4.8","No","N/A","No comercial","16","24.1","Hembra"
"888005582775","5","1","14","Mamíferos","GATOS ","FELIS CATUS","No aplica","CRIOLLOS","5","No","N/A","No comercial","10","24","Macho"
"888005584633","1","1","1","Mamíferos","PERR","CANIS FAMILIAR","No aplica","SI","4","No","N/A","No comercial","3.5","8","Macho"
"888005585653","5","1","15","Mamíferos","GATOS","FELIS CATUS","No aplica","CRIOLLO","3","No","NINGUNA","Traslado para un zoológico, santuario o centro de rehabilitación","15","21","Macho"
"888005587872","5","1","5","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","12.14","No","N/A","No comercial","16","23.2","Hembra"
"888005588560","2","16","8","Aves","GALLO","GALLUS SPP","No aplica","CRIOLLA ","17.18","No","N/A","No comercial","13.2","18.3","Macho"
"888005590165","2","1","2","Mamíferos","PERRO ","CANIS FAMILIARIS ","No aplica","MESTIZA ","12.24","No","N/A","No comercial","21","39.1","Hembra"
"888005612632","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","CRIOLLOS ","1","No","N/A","No comercial","13.5","23.5","Hembra"
"888005612658","4","1","8","Mamíferos","GATOS ","FELIS CATUS","No aplica","CRIOLLOS","4","No","N/A","No comercial","7.5","15.5","Macho"
"888005616076","5","1","7","Mamíferos","GATO ","FELIS CATUS","No aplica","CRIOLLA ","4.1214","No","N/A","No comercial","29","38.5","Macho"
"888005616416","4","1","9","Mamíferos","GATO","FELIS CATUS","No aplica","CRIOLLO","4.12","No","N/A","No comercial","15","23.3","Hembra"
"888005617038","5","1","13","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA","4.6","No","N/A","No comercial","15.9","29.3","Hembra"
"888005616077","1","1","1","Mamíferos","PERRO","CANIS LUPUS FAMILIARIS ","No aplica","SCHNAUZER MINIATURA ","3","No","0","No comercial","2.3","5","Hembra"
"5640791","1","51","255","Peces","peces","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","2","51","255","Peces","peces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","3","51","255","Peces","pesces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","4","51","255","Peces","peces truchas ","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","5","51","255","Peces","peces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","6","51","255","Peces","peces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","7","51","255","Peces","peces truchas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"5640791","8","51","255","Peces","peces truhas","pisces spp ","No aplica","n/a","1","No","n/a","No comercial","0.001","11","N/A"
"888005645047","5","1","5","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","7.24","No","N/A","No comercial","15","22.6","Hembra"
"888005645548","5","1","12","Mamíferos","GATO ","FELIS CATUS","No aplica","CRIOLLA ","4.12","No","N/A","No comercial","12.1","21.6","Hembra"
"888005670154","1","1","3","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","12","No","N/A","No comercial","11","14","Hembra"
"888005672248","5","1","14","Mamíferos","GATOS","FELIS CATUS ","No aplica","CRIOLLO ","4.5","No","N/A","No comercial","11.65","24.6","Hembra"
"888005697449","5","1","6","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","12.14","No","N/A","No comercial","18","23","Hembra"
"5696357","1","1","1","Mamíferos","PERRO","CANIS FAMILIARIS","No aplica","DOBERMAN","23","No","BUEN ESTADO DE SALUD","No comercial","39","45","Macho"
"888005698352","5","1","14","Mamíferos","GATO","FELIS CATUS ","No aplica","CRIOLLO ","4.12","No","N/A","No comercial","15","18.6","Macho"
"5697185","1","1","1","Mamíferos","PERRO ","CANIS FAMILIARIS ","No aplica","POMERANIA ","24","No","BEN ESTADO DE SALUD ","No comercial","1.5","6","Macho"
"888005698776","5","1","5","Mamíferos","GATO ","FELIS CATUS ","No aplica","CRIOLLA ","12.14","Sí","1Deformidad en lasextremidades posteriores ( mienbro pelvico torcidos) 1 ceguera total permanente,debido a enucleacion bilateral (extirpacion quirurguica de ambos glóbulos oculares) epesar de su condicion se encuentran clinicamente estable y apto para via","No comercial","15","20.1","Macho"
"5696727","1","1","1","Mamíferos","PERRO ","CANIS FAMILIARIS","No aplica","AJMERIN BULLY ","48","No","BUEN ESTADO ","No comercial","34","47","Macho"
"888005696767","5","1","12","Mamíferos","GATOS","FELIS CATUS ","No aplica","CRIOLLOS ","4","No","N/A","No comercial","15","25","Macho"
"5702978","1","18","2","Aves","GALLOS","GALLUS GALLUS DOMSTICUS","No aplica","NA","18","No","BUEN  ESTADO DE SALUD ","No comercial","1.5","7","Macho"
"5702978","2","18","6","Aves","GALLO ","GALLUS GALLUS DOMESTICUS ","No aplica","N/A","14","No","BUEN ESTADO DE SALUD ","No comercial","1.5","12","Hembra"
"888005704872","1","1","3","Mamíferos","GATOS COMUN","FELIS CATUS","No aplica","MESTIZOS","4","No","N/A","No comercial","3","7","Hembra"
