"Número de guía","Número de bulto a agregar","Tipo de embalaje","Detalle naturaleza del envío","Peso neto del hielo seco (Kg)","Peso bruto del bulto (Kg)"
"888005098107","5","CAJA DE CARTON ","SUSTRANCIAS BOLOGICAS","9","51.5"
"888005105178","1","CAJA NEVERA","HIELO SECO","8","8.7"
"88800510975","1","POLIETILENO EXPANDIDO","HIELO SECO COMO REFRIGERANTE DE MUESTRA BIOLOCICA CATEGORIA B","3","3"
"888005113409","1","CARTON ","DRI ICE - HIELO SECO ","6","8"
"888005114891","2","CAJA NEVERA","HIELO SECO","2.8","2.95"
"111105112836 ","1","CAJA CARTON","MUESTRAS BIOLOGICAS","2","4"
"888005113741","1","nevera","muestras biologicas ","2","3"
"888005112488","1","CAJA DE CARTON","DRY ICE","1,845","4.7"
"888005112488","2","CAJA DE CARTON","DRY ICE","3","4.7"
"888005116582","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005117853","1","CARTON PRENSADO ","DIOXIDO DE CARBONO ","5","5.3"
"888005119645","1","SANGRE ","TRYPANOSOMA CRUZI CHAGA ","1","12"
"888005121687","1","CARTON E ICOPOR","HEMOCULTIVOS","4","5.6"
"5123229","1","CABA DE ICOPOR","HIELO SECO","5","13.9"
"888005122851","1","CABA DE ICOPOR","SUERO","1","8.5"
"888005122851","1","CAVA DE ICOPOR ","SUERO ","1","8.5"
"888005127809","1","CAJA DE POLIETILENO","HIELO SECO","9","12.6"
"888005127809","2","CAJA DE POLIETILENO","HIELO SECO","9","12.6"
"888005127809","3","CAJA DE POLIETILENO","HIELO SECO","9","12.6"
"888005127809","4","CAJA DE POLIETILENO","HIELO SECO","9","12.6"
"5131659","1","POLIESTIRENO EXPANDIDO","MEDICAMENTOS","6","8.5"
"888005135530","1","CAJA NEVERA ","HIELO SECO ","6.6","6.7"
"888005135851","2","CAJA DE CARTON ","SANGRE ","4","6"
"888005135851","2","CAJA DE CARTON ","ORINA ","4","6"
"888005139190","1","CAVA EN CAJA DE CARTON","MUETRAS BIOLOGICAS","1","4"
"888005139309","1","CARTON","DRI ICE - HIELO SECO ","3","4"
"888005140320","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","5"
"888005141081","1","CARTON","DRI ICE - HIELO SECO ","3","4"
"111105140944","1","CAJA CARTON","MUESTRAS BIOLOGICAS","1","6"
"888005140425","1","CAJA NEVERA ","HIELO SECO ","17.5","18.6"
"888005142512","2","CAJA NEVERA ","HIELO SECO ","3.12","3.2"
"888005145249","1","SANGRE ","TRYPANOSOMA  CRUZI  CHAGA ","2","12"
"888005147386","1","CARTON ","DRI ICE - HIELO SECO ","6","10"
"888005147944","1","CAVA  DE ICOPOR ","SUERO","1","10"
"888005147944","1","CAVA  DE ICOPOR ","SUERO","1","7"
"888005157189","1","nevera","muestras biologicas ","2","3"
"888005167913","1","nevera","muestras biologicas ","4","5"
"888005169700","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005169644","2","CAJA NEVERA ","HIELO SECO ","2.81","2.94"
"5172671","1","CARTON E ICOPOR","HEMOCULTIVOS","4","8.04"
"888005173776","1","CAJA DE ICOPOR","DRY ICE","2","12.6"
"888005174473","1","CARTON","DRI ICE - HIELO SECO ","3","11"
"888005178877","1.2","CAJA DE POLIPROPILENO","HIELO SECO","9","11.6"
"888005178877","3.4","CAJA DE POLIPROPILENO","HIELO SECO","9","11.6"
"888005178877","5.6","CAJA DE POLIPROPILENO","HIELO SECO","9","11.6"
"888005178877","7","CAJA DE POLIPROPILENO","HIELO SECO","9","11.6"
"888005187246","1","nevera","muestras biologicas ","4","5"
"888005187522","1","CAJA DE CARTON ","INVESTIGACION ","6","10"
"888005188373","2","CAJA DE CARTON","DRY ICCE","0.5","2.4"
"888005201635","1.23","FIBREBOARD BOX","MUESTRAS BIOLOICAS","9","11"
"5203915","1","CAVA DE ICOPOR","HIELO SECO","1","17"
"888005217436","1","CAJA NEVERA ","HIELO SECO ","4.9","5.2"
"888005216659","1","CAJA DE CARTON PRENSADO ","INVESTIGACION","3","4"
"888005216659","2","CAJA DE CARTON PRENSADO","INVESTIGACION","3","4"
"888005216659","3","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005218508","3","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","28","42.4"
"888005219201","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"5216468","1","CABA DE ICOPOR ","MEDICAMNETOS ","3","6"
"888005219350","2","caja nevera ","hielo seco","2.02","2.17"
"888005222135","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","7","10"
"888005223355","1","CARTON E ICOPOR","HEMOCULTIVOS","4","6"
"888005235600","1","CAJA NEVERA ","HIELO SECO ","5.4","5.5"
"888005238030","1","CAJA DE CARTON","HIELO SECO","4","6"
"88800524008","1","CARTON PRENSADO","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICA CATEGORIA B","4","4.5"
"88800524008","2","CATRON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICA CATEGORIA B","4","4.5"
"888005240551","1","CAJA DE CARTON","DRY ICE","6","9.8"
"888005241676","1","CAJA DE CARTON PRENSADA","INVESTIGACION","3","4"
"888005241676","2","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"111052244329","1","CAJA CARTON ","UN3373","2","6"
"888005244041","1","nevera ","muestras biologicas ","5","6"
"888005244077","1","CARTON PRENSADO","DIOXIDO DE CARBONO","9","9.3"
"5246001","1","CAVA DE ICOPOR","HIELO SECO","5","12.95"
"888005246181","1","CARTON PRENSADO","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICA CATEGORIA B","7","12.6"
"888005245986","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","2","3"
"5248310","1","CAVA DE ICOPOR","HIELO SECO","5","6"
"888005249398","1","CAJA DE ICOPOR","DRY ICE","2","11.4"
"888005245985","1","CAJA NEVERA ","HIELO SECO ","3.6","3.7"
"888005249596","1","CAJA DE CARTON ","SUEROS ","2.5","4.5"
"888005250639","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","10"
"888005250512","1","CAJA DE ICOPOR","DRI ICE","1","8.6"
"5255038","1","FIBREBOARD BOX","MEDICAMMENTOS","4","5"
"888005265571","1","NEVERA ICOPOR ","TEJIDOS OSEOS ","1","20"
"888005265571","2","NEVERA ICOPOR ","TEJIDOS OSEOS ","1","20"
"888005265571","3","NEVERA ICOPOR ","TEJIDOS OSEOS ","1","10"
"888005270032","1","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGICA CATEGORIA B","4","4.5"
"888005270032","2","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGICA ","4","4.5"
"888005273157","1","CAJA NEVERA ","HIELO SECO ","3.3","3.6"
"888005273582","1","CONTENEDOR DE POLIESTIRENO","TEJIDO OSEO","1","6.6"
"888005273635","1","nevera ","muestras biologicas ","4","5"
"888005274864","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005275298","2","CAJA NEVERA ","HIELO SECO ","2.11","2.2"
"888005280012","1","CARTON E ICOPOR","SUEROS ","4","7.14"
"888005280009","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","15"
"888005281082","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B","4","9.4"
"5281451","1","FIBREBOARD BOX","MEDICMENTOS ","3","5.7"
"888005292026","1","CONTENEDOR POLISTIRENO","MUESTRAS BIOLOGICAS UN3373","3","15"
"888005293534","1","CAVA ICOPOR","INJERTO","10","10.18"
"888005293988","1","CAJA DE CARTON ","INFLUENZA  VIRUS ","6","7"
"888005293988","1","CAJA DE CARTON ","INFLUENZA  VIRUS ","6","7"
"888005294931","1","CAJA DE CARTON ","SANGRE ","3","4.8"
"888005298316","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","4"
"888005293036","2","CAJA NEVERA ","HIELO SECO ","4.5","4.6"
"111105299061 ","1","CAJA  CARTON","MUESTRAS BIOL CAT B ","2","6"
"888005302940","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005303561","1","CARTON PRENSADO","DIOXIDO DE CARBONO","7","7.3"
"888005304238","1","CAJA DE CARTON","DRY ICE","1","9"
"888005304238","1","CAJA DE CARTON","DRY ICE","1","9.8"
"8885298201","1","CAVA ICOPOR","DRY ICE","7","13.4"
"888005306067","1","CAJA DE CARTON","SUEROS","2","4"
"888005305811","1","CAJA NEVERA ","HIELO SECO","16.7","17.4"
"888005306338","1","CAJA DE CARTON","DRY ICE","2","9.8"
"888005306551","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","15"
"888005314629","1","nevera","MUETRAS BIOLOGICAS","2","3"
"888005323838","2","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOCA CATEGORIA B","4","5"
"888005326600","1","NEVERA","MUESTRAS BIOLOGICAS ","4","5"
"888005329914","1","CAJA DE CARTON PRENSADA","INVESTIGACION ","3","4"
"888005333254","1","CARTON E ICOPOR","SUEROS","6","9.28"
"888005333426","1","CAJA DE CARTON PRENSADA","INVESTIGACION ","3","11"
"888005341254","2","CONTENEDOR DE POLIESTIRENO","MUESTARA BIOLOGICAS UN3373","3","10"
"888005348989","1","NEVERA","MUESTRAS BIOLOGICAS","3","4"
"888005350289","1","CAJA DE CARTON PRENSADO ","INVESTIGACION","3","4"
"888005352299","1","SANGRE ","TOXOPLASMA GONDII VIRUS EPSTEIN BARR","0.5","1"
"888005351257","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","11"
"5376372","1","POLIESTIRENO EXPANDIDO","INJERTO OSEO","1","162"
"888005391043","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005392310","1","CAJA DE CARTON","MUESTRA BIOLOGICA CAT B ","5","5.6"
"888005397814","1","CARTON ","DRI ICE - HIELO SECO ","7","11"
"888005411546","1","CAJA NEVERA ","HIELO SECO ","2.96","3"
"5415735","1","FIBREBOARD BOX","MEDICAMENTOS","3","7.3"
"888005418138","1","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGIICA CATEGORIA B ","4","4.5"
"888005418138","2","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGIICA CATEGORIA B ","4","4.5"
"111105421428","1","CAJA  CARTON","UN3373","2","5"
"888005422399","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005421058","1","CAJA NEVERA ","HIELO SECO","2.7","3"
"888005422262","1","nevera","muestras biologicas ","4","5"
"888005424364","1","CAJA NEVERA ","HIELO SECO","7.4","7.6"
"888005426017","1","CARTON PRENSADO","DIOXIDO DE CARBONO","6","6.3"
"888005423637","1","CAJA","SANGRE ,ORINA","4","6.5"
"888005429051","1","CARTON ","DRI ICE - HIELO SECO ","6","10"
"888005429410","1","CAJA","SUEROS","2","4.5"
"888005428997","1","CAVA DE ICOPOR ","SANGRE ","3","12.6"
"888005428282","1","SUEROS ","ORTHOFLAVIRUS TOXOPLASMA GONDI VIRUS","1","7.2"
"5431909","1","CAVA DE ICOPOR ","DRY ICE ","10","19.2"
"5432029","1","CABA DE ICOPOR ","DRY ICE ","20","21.6"
"5432069","1","CABA DE ICOPOR ","DRY ICE ","5","10.85"
"888005449935","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","5"
"888005451664","1","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGICA CATEGORIA B","4","4.5"
"888005451664","2","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGICA CATEGORIA B","4","4.5"
"888005451664","3","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGICA CATEGORIA B","4","4.5"
"888005454256","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005449505 ","1","CAJA DE CARTON ","SANGRE","1.5","3.2"
"888005449505 ","1","CAJA DECARTON ","SANGRE","1.5","3.2"
"888005455686","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","16","22.8"
"888005455931","2","CAJA NEVETA ","HIELO SECO","3.21","3.3"
"888005451080","2","CAJA NEVERA","HIELO SECO ","2.7","2.8"
"888005454444","1","CAJA NEVERA ","HIELO SECO ","19.6","19.7"
"888005454444","2","CAJA NEVERA ","HIELO SECO ","8.2","8.3"
"888005451655","1","CAJA NEVERA ","HIELO SECO","2.7","2.8"
"888005456291","1","CAJA DE CARTON","INFLUENZA  VIRUS","5","7"
"888005457532","1","CAJA DE CARTON ","MEDICAMENTOS ","2","3.35"
"888005460322","1","CARTON ","DRI ICE - HIELO SECO ","6","14"
"888005459941","1","CAVA DE ICOPOR ","SUERO ","3","9.2"
"888005460705","1","CARTON Y POLIESTIRENO","HEMOCULTIVOS","5","7.9"
"888005461933","1","CAJA DE ICOPOR ","HIELO SECO ","6","12.9"
"5461943","1.2","CAJA DE CARTON","MEDICAMENTOS","10","16.8"
"888005467197","1","NEVERA","MUESTRAS BIOLOGICAS","3","4"
"888005471983","2","CONTENEDOR DE POLIESTIRENO","MUESTRAS BIOLOGICAS UN3373","3","10"
"888005473272","1","CAJA NEVERA ","HIELO SECO ","2.76","2.8"
"888005472719","1","CAJA NEVERA ","HIELO SECO ","7.2","7.4"
"888005476591","2","CAJA DE CARTON","SANGRE ","4","5"
"888005476591","2","CAJA DE CARTON ","ORINA ","4","5"
"888005477527","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005478474","1","CARTON PRENSADO","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICAS CATEGORIA B","4","4.5"
"888005478474","2","CARTON PRENSADO","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICAS CATEGORIA B","4","4.5"
"888005480252","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","3"
"888005479953","1","CAJA DE  CARTON","DRY ICE","1","2.2"
"888005479219","1","CAJA NEVERA ","HIELO SECO ","1.7","1.9"
"888005481180","1","CARTON","DRI ICE - HIELO SECO ","5","6"
"888005479258","1","CAJA NEVERA ","HIELO SECO ","2.9","3.1"
"888005481822","1","CARTON ","DRI ICE - HIELO SECO ","5","6"
"888005481861","1","NEVERA","MUESTRAS BIOLOGICAS ","5","6"
"888005481295","1","CAja DE CARTON","MUESTRA BIOLOGICA CAT B","8","12.9"
"888005484589","2","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICAS CATEGORIA B","7","7.5"
"888005486197","1","CAVA DE ICOPOR","SUERO","2","7"
"888005486197","2","CAVA DE ICOPOR","SUERO","2","10.2"
"888005487438","1","CAVA DE ICOPOR ","SANGRE ","2","9.8"
"888005487169","1","CAJA","CAJA","1.5","4.5"
"888005488501","1","CARTON ","DRI ICE - HIELO SECO ","5","9"
"888005490812","1","CAVADE ICOPOR ","DRY ICE ","7","8.7"
"888005499772","1","CONTENEDOR DE POLIESTIRENO","TEJIDO OSEO","2.5","18"
"888005507480","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","5"
"888005509624","1","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGICA CATEGORIA B","7","8"
"888005509539","1","NEVERA","MUESTRAS BIOLOGICAS ","2","3"
"888005511449","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
"888005515381","1","CARTON E ICOPOR","HEMOCULTIVOS","7","10.5"
"888005516726","1","CARTON ","DRI ICE - HIELO SECO ","3","11"
"888005515035","1","CAVA DE ICOPOR ","SANGRE ","2","13"
"888005525091","2","NEVERA DE HICORPOR","MUESTRAS IOLOGICAS CATEBORIA B ","3","9"
"888005530323","1","NEVERA","MUESTRAS BIOLOGICAS ","4","5"
"888005531767","1","CARTON ","DRI ICE - HIELO SECO ","2","3"
"888005532184","1","CARTON ","DRI ICE - HIELO SECO ","6","10"
"888005532721","1","CAJA DE CARTON","DRY ICE","1","8.4"
"888005564608","2","CAJA DE CARTON ","SUSTANCIAS BIOLOGICAS CAT B ","28","45.4"
"888005563892","1","CAJA DE CARTON ","MEDICAMENTOS","3","7.1"
"3053480207","1","DRY ICE - HIELO SECO","INVESTIGACION ","3","4"
"3053480207","2","SUEROS ","INVESTIGACION ","3","4"
"888005566924","1","CAJA DE CARTON ","INVESTIGACION","3","4"
"888005566924","2","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005568717","1","CAJA DE CARTON ","INVESTIGACION ","5","6"
"888005574060","2","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","10","10.6"
"888005574230","1","CARTON E ICOPOR","SUEROS","4","7.08"
"888005571697","1","CAJA NEVERA ","HIELO SECO ","2.59","2.7"
"888005574116","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","7","13"
"888005575535","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","4","11"
"888005576128","1","CAJA DE CARTON","MEDICAMENTO","6","14.3"
"888005576151","1","CAJA DE CARTON","MEDICAMENTOS","7","17.3"
"888005580502","1","caja de carton ","hielo seco","16","18.02"
"888005593507","1","CAJA DE CARTON","HIELO SECO","4","5"
"888005594159","1","CARTON PRENSADO ","DIOXIDO DE CARBONO CONGELADO","4","4.3"
"888005594159","2","CARTON PRENSADO","DIOXIDO DE CARBONO CONGELADO","4","4.3"
"888005594159","3","CARTON PRENSADO ","DIOXIDO DE CARBONO CONGELADO ","4","4.3"
"888005593261","1","CAJA DE CARTON ","SANGRE ","5","7.8"
"888005595945","1","CAJA DE CARTON PRENSADO ","INVESTIGACIONES ","3","4"
"888005597561","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","6"
"888005599732","1","NEVERA","MUESTRAS BIOLOGICAS ","3","4"
"111105600509","1","CAJA CARTON","UN3373","2","5.5"
"88800559978","1","CAJA NEVERA ","HIELO SECO ","16.1","16.3"
"888005600191","1","CAA DE CARTON ","INVESTIGACION ","3","4"
"888005603559","1","CAJA DE CCARTON","DRY ICE","6","8.6"
"888005604211","1","CARTON PRENSADO","DIOXIDO DE CAERBONO ","6","6.3"
"888005604452","1","CAJA NEVERA ","HIELO SECO ","2.6","2.7"
"888005604898","1","CAJA DE ICOPOR","DRY ICE","2","13.2"
"888005604289","1","CAJA NEVERA ","HIELO SECO ","2.7","2.8"
"888005605666","1","CAJA","SUEROS","2.5","4.5"
"888005605967","1","CAJA DE CARTON","DRY ICE","3","9.6"
"888005605810","1","CAJA DE CARTON ","INVESTIGACION ","4","10"
"888005606234","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","4","10.8"
"5611852","1","FIBREBOAR BOX","DRY ICE ","4","4.4"
"88805590611","1","CAJA DE CARTON ","MUESTRAS BIOLOGICAS ","5","6"
"888005619511 ","1","CAJA DE ICOPOR ","MUESTRAS BIOLOGICAS ","10","12"
"888005626238","1","CAJA NEVERA ","HIELO SECO ","3.6","3.8"
"888005626256","1","CAJA NEVERA ","HIELO SECO ","3.36","3.5"
"888005628199","1","CAJA NEVERA ","HIELO SECO ","15.5","15.6"
"888005629014","1","NEVERA","MUESTRAS BIOLOGICAS ","2","3"
"888005626920","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005626920","2","CAJA DE CARTON PRENSADO ","INVESTIGACION ","3","4"
"888005626920","3","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005626920","4","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005631053","2","CAJA NEVERA ","HIELO SECO ","2.59","2.7"
"888005630691","1","CAJA DE ICOPOR","DRY ICE","2","7.6"
"888005629963","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005634510","1","CARTON E ICOPOR","SUEROS","4","6.48"
"88005630980","1","CABA DE ICOPOR ","INSUMOS MEDICOS","8","13.55"
"888005630980","1","CAV DE ICOPOR ","INSUMOS ","8","13.55"
"888005630895","1","CAVA DE ICOPOR ","INSUMOS ","15","20.55"
"888005635235","1","CAJA DE CARTON PRENSADO ","INVESTIGACION ","4","12"
"888005652840","1","CARTON PRENSADO","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICASS CATEGORIA B","4","4.5"
"888005652840","2","CARTON PRENSADO","HIELO SECO REFRIGERANDO MUESTRAS BIOLOGICASS CATEGORIA B","4","4.5"
"888005653519","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","2"
"888005653595","1","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGICA CATEGORIA B","7","8"
"888005654424","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005654424","2","CAJA DE CARTON PRENSADO","INVESTIGACION","3","4"
"888005655497","1","NEVERA ","MUESTRAS BIOLOGICAS ","3","4"
"111105656520","1","CAJA CARTON","UN3373","2","6"
"888005657152","1","CAJA NEVERA ","HIELO SECO ","12.2","12.3"
"888005657025","1","CARTON PRENSADO","INVESTIGACION ","3","4"
"888005659015","2","CARTON PRENSADO ","HIELO SECO REFRIGERANDO MUESTRA BIOLOGICA CATEGORIA B","6","6.5"
"888005660390","1","CAJA DE CARTON ","INFLUENZA VIRUS ","5","7.6"
"888005660790","1","CAJA DE ICOPOR","DRY ICE","2","9.8"
"888005661344","1","CAJA DE CARTON","SUEROS","2","4.5"
"888005662394","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","4","8.9"
"888005662397","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","4","11"
"888005659825","2","CAJA NEVERA ","HIELO SECO ","3.75","3.8"
"888005660512","1","CAJA NEVERA ","HIELO SECO","3.36","3.4"
"888005626960","1","CAJA DE ICOPOR","DRY ICE","2","10.6"
"888005626960","3","CAJA DE CARTON","DRY ICE","2","7.4"
"888005675899","1","CAJA DE CARTON ","INFLUENZA VIRUS ","6","6"
"888005681229","1","CAVA EN CAJA DE CARTON","MUESTRAS BIOLOGICAS","1","5"
"888005683816","2","CAJA NEVERA ","HIELO SECO ","2.86","2.98"
"888005684190","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","3","4"
"888005688182","1","CARTON E ICOPOR","SUEROS","4","6.84"
"888005687862","3","CAJA DE CARTON","DRY ICE","1","4.4"
"888005688759","1","CAJA DE CARTON ","MUESTRA BIOLOGICA CAT B ","4","8"
"888005688701","1","CAJA DE CARTON PRENSADO","INVESTIGACION ","7","11"
"888005696181","1","nevera","MUESTRAS  BIOLOGICAS ","3","4"
"888005705318","1","NEVERA","MUESTRAS BIOLOGICAS ","2","3"
"888005705386","1","CAJA DE CARTON PRENSADO ","INVESTIGACION ","2","3"
"888005706337","1","SANGRE ","TOXOPLASMA GONDII VIRUS EPSTEIN BARR","0.5","2.8"
"888005705941","1"," SANGRE","TOXOPLASMA GONDII VIRUS EPSTEIN BARR","2","8"
"888005706295","1","CAJA DE CARTON ","INVESTIGACION ","5","13"
"888005707415","1","SANGRE ","TOXOPLASMA GONDII VIRUS EPSTEIN BARR","1","5"
"888005740919","1","CARTON ","DRI ICE - HIELO SECO ","3","4"
